遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,110000001,2021/01/01,2344600,46892,1028300,01,02,06,09,10,11,12,16,17,19,20,21
雙贏彩,110000002,2021/01/02,2867600,57352,591800,01,02,03,04,05,06,11,13,14,18,21,24
雙贏彩,110000003,2021/01/04,2534200,50684,572800,01,03,04,05,06,09,11,13,14,15,16,19
雙贏彩,110000004,2021/01/05,2287750,45755,333300,03,07,08,09,10,11,12,14,19,21,23,24
雙贏彩,110000005,2021/01/06,2919000,58380,678900,02,04,05,06,10,11,12,13,14,15,18,22
雙贏彩,110000006,2021/01/07,2284150,45683,777000,01,03,05,06,12,13,15,17,19,20,21,23
雙贏彩,110000007,2021/01/08,2234950,44699,15315200,03,05,07,08,09,11,13,14,18,21,23,24
雙贏彩,110000008,2021/01/09,2863000,57260,1288200,02,04,06,08,10,12,13,15,16,18,20,21
雙贏彩,110000009,2021/01/11,2459400,49188,433700,01,05,06,09,10,11,14,15,21,22,23,24
雙贏彩,110000010,2021/01/12,2291200,45824,424600,01,02,05,06,07,10,14,16,17,18,19,20
雙贏彩,110000011,2021/01/13,2969800,59396,1620700,01,04,07,08,09,12,15,17,18,20,22,24
雙贏彩,110000012,2021/01/14,2384750,47695,820400,01,02,04,06,08,10,11,16,17,18,19,23
雙贏彩,110000013,2021/01/15,2383250,47665,720400,01,02,04,06,07,09,10,13,15,17,18,23
雙贏彩,110000014,2021/01/16,2971300,59426,575200,05,06,08,09,11,12,13,15,16,18,19,21
雙贏彩,110000015,2021/01/18,2521700,50434,807600,01,02,03,04,05,06,15,18,19,20,21,22
雙贏彩,110000016,2021/01/19,2291800,45836,617200,02,06,08,11,14,17,18,19,20,21,22,23
雙贏彩,110000017,2021/01/20,2919150,58383,492400,05,07,08,10,12,14,16,17,19,22,23,24
雙贏彩,110000018,2021/01/21,2347450,46949,1039000,01,02,06,08,11,12,14,16,17,18,22,23
雙贏彩,110000019,2021/01/22,2296850,45937,432500,01,02,03,06,08,09,13,14,17,18,20,21
雙贏彩,110000020,2021/01/23,2934250,58685,387100,02,03,05,06,08,12,16,18,19,20,21,22
雙贏彩,110000021,2021/01/25,2572750,51455,358200,03,04,05,06,07,09,10,15,17,19,22,24
雙贏彩,110000022,2021/01/26,2294650,45893,533900,02,05,07,09,10,11,13,15,18,20,22,23
雙贏彩,110000023,2021/01/27,2883550,57671,667200,02,03,04,05,08,09,12,17,18,20,22,23
雙贏彩,110000024,2021/01/28,2285200,45704,1264300,02,04,05,06,07,10,12,13,14,16,20,22
雙贏彩,110000025,2021/01/29,2291350,45827,533800,04,05,09,11,12,13,14,17,18,20,22,23
雙贏彩,110000026,2021/01/30,2904050,58081,625800,01,02,04,05,09,10,11,13,17,18,20,23
雙贏彩,110000027,2021/02/01,2541350,50827,839500,02,05,08,09,10,11,13,14,15,17,21,22
雙贏彩,110000028,2021/02/02,2329650,46593,929100,01,02,04,06,10,12,14,15,16,19,21,22
雙贏彩,110000029,2021/02/03,2950650,59013,938400,04,06,07,08,09,11,12,13,14,16,17,21
雙贏彩,110000030,2021/02/04,2358500,47170,1031200,03,05,06,09,10,11,13,15,16,18,21,23
