遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,113000001,2024/01/01,27156700,1086268,11649125,3,9,27,30,33
39樂合彩,113000002,2024/01/02,24765050,990602,10968500,21,22,25,30,37
39樂合彩,113000003,2024/01/03,27162750,1086510,11096625,1,5,21,32,37
39樂合彩,113000004,2024/01/04,27151425,1086057,14335625,11,27,28,29,37
39樂合彩,113000005,2024/01/05,26897500,1075900,14815875,10,11,14,21,33
39樂合彩,113000006,2024/01/06,30756000,1230240,14906125,1,16,33,37,39
39樂合彩,113000007,2024/01/08,30525225,1221009,25986250,7,22,35,38,39
39樂合彩,113000008,2024/01/09,26860800,1074432,21813000,9,17,19,23,27
39樂合彩,113000009,2024/01/10,31057825,1242313,17926500,3,6,15,19,24
39樂合彩,113000010,2024/01/11,29828275,1193131,17742125,15,23,34,36,37
39樂合彩,113000011,2024/01/12,27763875,1110555,18992125,1,3,12,23,31
39樂合彩,113000012,2024/01/13,30285900,1211436,16061125,14,20,27,33,38
39樂合彩,113000013,2024/01/15,30003775,1200151,22993125,1,3,10,11,35
39樂合彩,113000014,2024/01/16,26550675,1062027,16406875,2,5,9,27,29
39樂合彩,113000015,2024/01/17,29564750,1182590,16345875,10,17,32,38,39
39樂合彩,113000016,2024/01/18,28923275,1156931,10400125,10,27,31,32,33
39樂合彩,113000017,2024/01/19,27131500,1085260,10916750,2,3,13,17,35
39樂合彩,113000018,2024/01/20,30109050,1204362,21341500,15,20,28,36,37
39樂合彩,113000019,2024/01/22,29457250,1178290,10145000,3,15,17,25,36
39樂合彩,113000020,2024/01/23,23192950,927718,22998625,8,16,18,19,35
39樂合彩,113000021,2024/01/24,28463000,1138520,11509750,4,12,29,33,36
39樂合彩,113000022,2024/01/25,27033850,1081354,15603500,1,14,32,34,36
39樂合彩,113000023,2024/01/26,26400875,1056035,13885375,6,9,12,22,31
39樂合彩,113000024,2024/01/27,28996800,1159872,9864875,1,8,9,30,35
39樂合彩,113000025,2024/01/29,29760400,1190416,10879625,1,3,18,22,28
39樂合彩,113000026,2024/01/30,25515275,1020611,15756625,3,11,21,23,36
39樂合彩,113000027,2024/01/31,29871425,1194857,16424000,6,10,21,32,38
39樂合彩,113000028,2024/02/01,29239625,1169585,21034125,10,17,19,29,37
39樂合彩,113000029,2024/02/02,27980050,1119202,11803375,10,22,26,32,33
39樂合彩,113000030,2024/02/03,30857700,1234308,18193125,14,20,21,23,34
39樂合彩,113000031,2024/02/05,32572875,1302915,17808250,12,15,16,23,28
39樂合彩,113000032,2024/02/06,28903750,1156150,12788500,6,13,16,32,39
39樂合彩,113000033,2024/02/07,29452575,1178103,8323625,6,11,15,28,31
39樂合彩,113000034,2024/02/08,28596600,1143864,14238875,20,25,31,35,38
39樂合彩,113000035,2024/02/09,27776750,1111070,12159875,6,20,22,36,37
39樂合彩,113000036,2024/02/10,28707450,1148298,17178500,3,18,19,21,22
