遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3
3星彩,113000001,2024/01/01,1682350,67294,642350,5,7,0
3星彩,113000002,2024/01/02,1549875,61995,1252200,5,2,8
3星彩,113000003,2024/01/03,1706950,68278,893750,5,5,3
3星彩,113000004,2024/01/04,1725275,69011,876550,7,9,9
3星彩,113000005,2024/01/05,1802850,72114,852250,5,6,5
3星彩,113000006,2024/01/06,1908200,76328,1008250,0,2,5
3星彩,113000007,2024/01/08,2007975,80319,844350,9,9,2
3星彩,113000008,2024/01/09,1796825,71873,1056450,7,5,6
3星彩,113000009,2024/01/10,1917075,76683,895800,7,9,3
3星彩,113000010,2024/01/11,1949675,77987,1023400,6,3,0
3星彩,113000011,2024/01/12,1936750,77470,1732600,2,3,6
3星彩,113000012,2024/01/13,2131500,85260,975800,5,0,6
3星彩,113000013,2024/01/15,2199725,87989,1219200,1,3,0
3星彩,113000014,2024/01/16,1848400,73936,959450,2,6,4
3星彩,113000015,2024/01/17,1891250,75650,1112950,8,1,2
3星彩,113000016,2024/01/18,1864275,74571,1136600,0,6,9
3星彩,113000017,2024/01/19,1861000,74440,869150,7,6,1
3星彩,113000018,2024/01/20,1904325,76173,1263300,3,5,7
3星彩,113000019,2024/01/22,1983075,79323,963200,3,5,5
3星彩,113000020,2024/01/23,1602100,64084,898600,0,2,7
3星彩,113000021,2024/01/24,1774450,70978,917150,4,3,0
3星彩,113000022,2024/01/25,1783850,71354,767500,8,7,5
3星彩,113000023,2024/01/26,1834425,73377,859250,8,6,1
3星彩,113000024,2024/01/27,1893300,75732,1153100,8,2,7
3星彩,113000025,2024/01/29,2115925,84637,1088250,2,7,0
3星彩,113000026,2024/01/30,1831275,73251,1520050,4,2,8
3星彩,113000027,2024/01/31,1991675,79667,1397300,3,3,0
3星彩,113000028,2024/02/01,1919250,76770,1692350,2,0,5
3星彩,113000029,2024/02/02,1947425,77897,879050,1,8,0
3星彩,113000030,2024/02/03,1995700,79828,1261450,4,1,9
3星彩,113000031,2024/02/05,2192600,87704,2261500,2,2,2
3星彩,113000032,2024/02/06,1975375,79015,987250,5,2,4
3星彩,113000033,2024/02/07,1939650,77586,1235950,3,0,3
3星彩,113000034,2024/02/08,2041150,81646,1028950,1,8,3
3星彩,113000035,2024/02/09,1995300,79812,927550,1,4,1
3星彩,113000036,2024/02/10,2085650,83426,1656650,2,7,0
3星彩,113000037,2024/02/12,2656525,106261,1102550,4,9,7
3星彩,113000038,2024/02/13,2133425,85337,1028250,3,0,7
3星彩,113000039,2024/02/14,2210700,88428,1301600,1,2,1
3星彩,113000040,2024/02/15,2090475,83619,1307250,8,1,3
3星彩,113000041,2024/02/16,2185900,87436,1147200,9,0,0
3星彩,113000042,2024/02/17,2139375,85575,5477800,8,8,8
3星彩,113000043,2024/02/19,2517600,100704,2427350,9,2,8
3星彩,113000044,2024/02/20,2181125,87245,1720650,1,1,2
3星彩,113000045,2024/02/21,2098675,83947,902750,2,4,1
3星彩,113000046,2024/02/22,2107525,84301,1125750,6,1,2
3星彩,113000047,2024/02/23,2096700,83868,1715750,0,0,0
3星彩,113000048,2024/02/24,2179275,87171,1267750,9,0,9
3星彩,113000049,2024/02/26,2395925,95837,1448650,5,2,7
3星彩,113000050,2024/02/27,2142500,85700,882700,0,5,0
3星彩,113000051,2024/02/28,2283550,91342,835900,8,4,4
3星彩,113000052,2024/02/29,2206800,88272,1695400,3,1,3
3星彩,113000053,2024/03/01,2128550,85142,882050,0,4,0
3星彩,113000054,2024/03/02,2133300,85332,946000,5,0,1
3星彩,113000055,2024/03/04,2440250,97610,2305550,5,3,9
3星彩,113000056,2024/03/05,2232325,89293,1042750,6,5,3
3星彩,113000057,2024/03/06,2161950,86478,650250,4,9,4
3星彩,113000058,2024/03/07,2163450,86538,1044800,3,5,3
3星彩,113000059,2024/03/08,2290850,91634,1007850,7,9,7
3星彩,113000060,2024/03/09,2263300,90532,755550,8,3,4
3星彩,113000061,2024/03/11,2452325,98093,1232850,0,9,6
3星彩,113000062,2024/03/12,2117450,84698,631600,6,5,4
3星彩,113000063,2024/03/13,2164200,86568,664900,2,9,4
3星彩,113000064,2024/03/14,2075925,83037,805500,7,4,2
3星彩,113000065,2024/03/15,2123500,84940,1137500,7,5,8
3星彩,113000066,2024/03/16,2178550,87142,1067650,8,9,6
3星彩,113000067,2024/03/18,2460200,98408,1727400,3,1,5
3星彩,113000068,2024/03/19,2046850,81874,1334700,6,8,9
3星彩,113000069,2024/03/20,2120250,84810,777900,9,5,4
3星彩,113000070,2024/03/21,2068700,82748,989500,7,9,1
3星彩,113000071,2024/03/22,2053725,82149,1570200,6,2,3
3星彩,113000072,2024/03/23,2086875,83475,944100,0,5,1
3星彩,113000073,2024/03/25,2256125,90245,1062800,0,4,0
3星彩,113000074,2024/03/26,1998075,79923,883550,1,8,0
3星彩,113000075,2024/03/27,2097725,83909,935800,7,6,0
3星彩,113000076,2024/03/28,2021325,80853,1510750,3,1,5
3星彩,113000077,2024/03/29,2056575,82263,1491550,1,3,9
3星彩,113000078,2024/03/30,2106025,84241,1076900,0,9,8
3星彩,113000079,2024/04/01,2275200,91008,2035700,4,2,7
3星彩,113000080,2024/04/02,2019925,80797,1606450,8,2,6
3星彩,113000081,2024/04/03,2472300,98892,821150,5,4,6
3星彩,113000082,2024/04/04,2009700,80388,1574850,3,4,4
3星彩,113000083,2024/04/05,2059375,82375,1179450,7,1,7
3星彩,113000084,2024/04/06,2069575,82783,1316000,5,3,0
3星彩,113000085,2024/04/08,2272875,90915,911550,6,4,6
3星彩,113000086,2024/04/09,2065550,82622,796050,5,5,1
3星彩,113000087,2024/04/10,2177625,87105,1007150,6,9,5
3星彩,113000088,2024/04/11,2143050,85722,4310850,3,0,3
3星彩,113000089,2024/04/12,2189400,87576,1163800,6,3,6
3星彩,113000090,2024/04/13,2273600,90944,1437000,5,1,1
3星彩,113000091,2024/04/15,2445525,97821,1312800,8,0,5
3星彩,113000092,2024/04/16,2150075,86003,1977850,6,1,6
3星彩,113000093,2024/04/17,2255075,90203,1185900,7,5,7
3星彩,113000094,2024/04/18,2199650,87986,1656650,2,5,5
3星彩,113000095,2024/04/19,2239350,89574,1146850,3,8,9
3星彩,113000096,2024/04/20,2203850,88154,1309500,5,1,4
3星彩,113000097,2024/04/22,2347625,93905,1233550,5,5,0
3星彩,113000098,2024/04/23,2162175,86487,2349750,5,2,3
3星彩,113000099,2024/04/24,2084100,83364,1329050,7,5,8
3星彩,113000100,2024/04/25,1968875,78755,1246700,2,5,2
3星彩,113000101,2024/04/26,2085725,83429,1410450,2,1,0
3星彩,113000102,2024/04/27,2133550,85342,1277900,8,1,7
3星彩,113000103,2024/04/29,2272150,90886,763050,1,8,4
3星彩,113000104,2024/04/30,2073450,82938,1310550,4,1,1
3星彩,113000105,2024/05/01,2239975,89599,1801100,3,0,1
3星彩,113000106,2024/05/02,2155225,86209,1626100,3,3,0
3星彩,113000107,2024/05/03,2183450,87338,1074100,4,3,8
3星彩,113000108,2024/05/04,2174975,86999,3119250,5,5,5
3星彩,113000109,2024/05/06,2483250,99330,1881700,2,5,8
3星彩,113000110,2024/05/07,2184300,87372,1912950,5,2,5
3星彩,113000111,2024/05/08,2412175,96487,1354700,1,3,9
3星彩,113000112,2024/05/09,2286600,91464,990050,3,8,5
3星彩,113000113,2024/05/10,2355200,94208,1311200,7,1,5
3星彩,113000114,2024/05/11,2393950,95758,1165900,2,3,1
3星彩,113000115,2024/05/13,2454325,98173,1051500,1,9,7
3星彩,113000116,2024/05/14,2191750,87670,1095500,5,4,5
3星彩,113000117,2024/05/15,2318150,92726,1053450,4,4,6
3星彩,113000118,2024/05/16,2254400,90176,1184900,6,2,7
3星彩,113000119,2024/05/17,2337375,93495,1285050,5,9,8
3星彩,113000120,2024/05/18,2348825,93953,910950,5,4,7
3星彩,113000121,2024/05/20,4148300,165932,1724250,6,4,2
3星彩,113000122,2024/05/21,2917775,116711,1416900,0,5,4
3星彩,113000123,2024/05/22,2975200,119008,1863600,1,5,7
3星彩,113000124,2024/05/23,2887600,115504,2213700,7,1,2
3星彩,113000125,2024/05/24,2917125,116685,2346900,7,1,8
3星彩,113000126,2024/05/25,3035700,121428,1979400,5,8,1
3星彩,113000127,2024/05/27,3179425,127177,2571750,6,3,0
3星彩,113000128,2024/05/28,2666250,106650,2365500,6,1,5
3星彩,113000129,2024/05/29,2900825,116033,2710750,2,5,9
3星彩,113000130,2024/05/30,2985350,119414,1881500,4,5,0
3星彩,113000131,2024/05/31,3101225,124049,1982600,1,3,4
3星彩,113000132,2024/06/01,2993925,119757,1812750,2,4,4
3星彩,113000133,2024/06/03,3328525,133141,2223750,6,9,7
3星彩,113000134,2024/06/04,2982950,119318,2737550,2,2,5
3星彩,113000135,2024/06/05,3058350,122334,2189250,9,8,9
3星彩,113000136,2024/06/06,3135700,125428,3882750,3,6,6
3星彩,113000137,2024/06/07,3318350,132734,2116200,1,9,7
3星彩,113000138,2024/06/08,3560500,142420,1980100,1,7,0
3星彩,113000139,2024/06/10,2840825,113633,1418750,9,8,9
3星彩,113000140,2024/06/11,2417775,96711,888950,8,5,9
3星彩,113000141,2024/06/12,2464400,98576,957150,4,4,0
3星彩,113000142,2024/06/13,2388150,95526,1063350,6,8,9
3星彩,113000143,2024/06/14,2359200,94368,1539450,2,5,0
3星彩,113000144,2024/06/15,2365800,94632,2466700,1,2,3
3星彩,113000145,2024/06/17,2569750,102790,1489900,1,7,5
3星彩,113000146,2024/06/18,2208775,88351,1073600,3,9,6
3星彩,113000147,2024/06/19,2253475,90139,1714950,3,2,9
3星彩,113000148,2024/06/20,2211875,88475,1823100,4,4,4
3星彩,113000149,2024/06/21,2275300,91012,1642650,0,8,8
3星彩,113000150,2024/06/22,2265550,90622,3845400,5,5,5
3星彩,113000151,2024/06/24,2607550,104302,1246100,7,5,2
3星彩,113000152,2024/06/25,2260250,90410,885850,8,2,4
3星彩,113000153,2024/06/26,2307200,92288,1879350,6,1,1
3星彩,113000154,2024/06/27,2288575,91543,1470300,7,1,5
3星彩,113000155,2024/06/28,2317550,92702,1388450,3,4,8
3星彩,113000156,2024/06/29,2253850,90154,1088500,1,7,2
3星彩,113000157,2024/07/01,2451875,98075,1391550,7,5,3
3星彩,113000158,2024/07/02,2233225,89329,995100,0,5,2
3星彩,113000159,2024/07/03,2263850,90554,1086100,0,7,5
3星彩,113000160,2024/07/04,2232150,89286,1394550,3,5,6
3星彩,113000161,2024/07/05,2298150,91926,1058750,8,8,3
3星彩,113000162,2024/07/06,2297650,91906,1065050,6,9,5
3星彩,113000163,2024/07/08,2429450,97178,1004250,7,6,0
3星彩,113000164,2024/07/09,2115725,84629,1050850,9,1,4
3星彩,113000165,2024/07/10,2262875,90515,1772300,2,2,3
3星彩,113000166,2024/07/11,2369250,94770,1181900,2,9,8
3星彩,113000167,2024/07/12,2252175,90087,1172550,9,0,9
3星彩,113000168,2024/07/13,2283225,91329,999100,3,9,3
3星彩,113000169,2024/07/15,2419425,96777,1160950,7,6,1
