遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6
49樂合彩,113000001,2024/01/02,8833075,353323,5348750,4,14,18,21,36,38
49樂合彩,113000002,2024/01/05,10170750,406830,4277500,2,20,23,30,35,47
49樂合彩,113000003,2024/01/09,9958800,398352,6073750,12,29,31,37,44,49
49樂合彩,113000004,2024/01/12,10877175,435087,4076250,4,25,29,38,42,46
49樂合彩,113000005,2024/01/16,9915600,396624,4710000,1,3,20,21,36,40
49樂合彩,113000006,2024/01/19,10628225,425129,4386250,1,3,7,19,31,46
49樂合彩,113000007,2024/01/23,8622800,344912,6815000,2,14,17,26,27,47
49樂合彩,113000008,2024/01/26,9842625,393705,6360000,2,11,20,34,46,47
49樂合彩,113000009,2024/01/30,9989500,399580,6805000,7,19,30,38,40,45
49樂合彩,113000010,2024/02/02,10753075,430123,8275000,5,9,25,35,38,39
49樂合彩,113000011,2024/02/06,11069300,442772,7896250,14,19,23,26,34,40
49樂合彩,113000012,2024/02/07,6459625,258385,3991250,20,22,31,34,35,37
49樂合彩,113000013,2024/02/08,7462200,298488,3073750,5,8,25,31,39,47
49樂合彩,113000014,2024/02/09,9360675,374427,5290000,3,7,16,20,25,30
49樂合彩,113000015,2024/02/10,8501050,340042,4920000,5,6,11,13,28,34
49樂合彩,113000016,2024/02/11,12132450,485298,4796250,11,13,23,29,44,45
49樂合彩,113000017,2024/02/12,8847475,353899,4533750,16,22,37,46,47,49
49樂合彩,113000018,2024/02/13,8734250,349370,4058750,2,3,6,39,44,47
49樂合彩,113000019,2024/02/14,8938150,357526,4171250,7,12,19,26,32,39
49樂合彩,113000020,2024/02/15,8164125,326565,5520000,4,8,18,19,20,33
49樂合彩,113000021,2024/02/16,9875850,395034,4311250,19,24,33,42,43,45
49樂合彩,113000022,2024/02/17,8111700,324468,3565000,4,5,20,27,32,40
49樂合彩,113000023,2024/02/18,11173650,446946,7352500,6,12,24,32,36,44
49樂合彩,113000024,2024/02/19,7845075,313803,5421250,2,10,17,32,38,48
49樂合彩,113000025,2024/02/20,9191550,367662,4036250,6,8,17,27,34,46
49樂合彩,113000026,2024/02/21,7625625,305025,4911250,13,21,25,27,31,43
49樂合彩,113000027,2024/02/22,7428025,297121,4175000,9,11,18,31,39,46
49樂合彩,113000028,2024/02/23,9186000,367440,3237500,3,8,9,21,34,49
49樂合彩,113000029,2024/02/24,7474175,298967,3641250,8,15,21,27,46,48
49樂合彩,113000030,2024/02/27,9102375,364095,8500000,7,15,17,29,41,42
49樂合彩,113000031,2024/03/01,9557825,382313,5808750,1,29,30,39,46,47
49樂合彩,113000032,2024/03/05,10301175,412047,6890000,10,15,21,24,26,38
49樂合彩,113000033,2024/03/08,10754150,430166,4353750,7,26,27,29,36,40
49樂合彩,113000034,2024/03/12,10211425,408457,4481250,3,13,22,27,45,49
49樂合彩,113000035,2024/03/15,10270750,410830,6037500,8,18,33,37,40,43
49樂合彩,113000036,2024/03/19,10106675,404267,7525000,8,14,19,20,21,36
49樂合彩,113000037,2024/03/22,10360200,414408,7453750,4,16,38,40,41,48
49樂合彩,113000038,2024/03/26,9749900,389996,3792500,6,19,21,29,32,46
49樂合彩,113000039,2024/03/29,10172625,406905,4517500,2,3,13,15,43,48
49樂合彩,113000040,2024/04/02,9720675,388827,5492500,27,32,38,39,46,49
49樂合彩,113000041,2024/04/05,9848500,393940,6960000,4,31,35,38,40,48
49樂合彩,113000042,2024/04/09,10031600,401264,5848750,3,16,17,19,22,26
49樂合彩,113000043,2024/04/12,10221300,408852,6231250,3,5,12,15,17,39
49樂合彩,113000044,2024/04/16,9700950,388038,4368750,5,8,17,33,35,40
49樂合彩,113000045,2024/04/19,9793600,391744,4021250,7,10,16,22,31,46
49樂合彩,113000046,2024/04/23,9383325,375333,4861250,13,14,17,32,33,36
49樂合彩,113000047,2024/04/26,9415550,376622,6436250,13,21,22,26,33,34
49樂合彩,113000048,2024/04/30,9898375,395935,5418750,3,9,13,22,33,43
49樂合彩,113000049,2024/05/03,10074025,402961,5478750,6,11,12,22,34,39
49樂合彩,113000050,2024/05/07,9742150,389686,6023750,7,9,15,28,30,33
49樂合彩,113000051,2024/05/10,10277850,411114,9986250,15,19,30,35,38,41
49樂合彩,113000052,2024/05/14,9831700,393268,3280000,6,7,10,25,32,43
49樂合彩,113000053,2024/05/17,10006750,400270,4837500,15,33,34,40,41,49
49樂合彩,113000054,2024/05/21,8859450,354378,5395000,1,30,34,35,38,42
49樂合彩,113000055,2024/05/24,9138400,365536,6042500,4,23,24,28,30,40
49樂合彩,113000056,2024/05/28,8451175,338047,7373750,12,17,18,21,33,37
