遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4
4星彩,113000001,2024/01/01,3601375,144055,1144000,2,2,5,4
4星彩,113000002,2024/01/02,3345525,133821,2048500,7,9,3,6
4星彩,113000003,2024/01/03,3560250,142410,823000,4,9,0,4
4星彩,113000004,2024/01/04,3576275,143051,1389500,0,4,9,8
4星彩,113000005,2024/01/05,3716975,148679,3011500,5,2,8,7
4星彩,113000006,2024/01/06,3867350,154694,2457000,9,9,1,6
4星彩,113000007,2024/01/08,4217750,168710,4300500,6,2,1,9
4星彩,113000008,2024/01/09,3770500,150820,3170500,5,8,2,2
4星彩,113000009,2024/01/10,3931050,157242,2950000,3,1,2,1
4星彩,113000010,2024/01/11,3934125,157365,1653000,9,0,7,9
4星彩,113000011,2024/01/12,3954850,158194,794500,7,4,4,0
4星彩,113000012,2024/01/13,3986575,159463,1533500,6,7,9,9
4星彩,113000013,2024/01/15,4216900,168676,1871000,5,4,6,5
4星彩,113000014,2024/01/16,3770875,150835,4328500,2,8,2,8
4星彩,113000015,2024/01/17,3875300,155012,3234000,3,9,0,6
4星彩,113000016,2024/01/18,3763450,150538,3968000,1,4,7,8
4星彩,113000017,2024/01/19,3943900,157756,1932000,1,4,0,5
4星彩,113000018,2024/01/20,3906150,156246,7144000,2,3,5,3
4星彩,113000019,2024/01/22,3976725,159069,496500,7,2,9,4
4星彩,113000020,2024/01/23,3324875,132995,1614000,0,5,8,3
4星彩,113000021,2024/01/24,3617450,144698,3955000,9,2,5,8
4星彩,113000022,2024/01/25,3633575,145343,1251000,2,3,4,8
4星彩,113000023,2024/01/26,3836875,153475,2738000,9,9,3,3
4星彩,113000024,2024/01/27,3827725,153109,1348000,0,2,5,3
4星彩,113000025,2024/01/29,4150125,166005,2481500,4,8,5,8
4星彩,113000026,2024/01/30,3766000,150640,1525500,3,5,0,3
4星彩,113000027,2024/01/31,4000450,160018,4547000,2,0,2,5
4星彩,113000028,2024/02/01,3996350,159854,3563500,5,9,6,9
4星彩,113000029,2024/02/02,4029150,161166,2622500,0,3,5,7
4星彩,113000030,2024/02/03,4117825,164713,5543000,3,5,3,6
4星彩,113000031,2024/02/05,4542725,181709,1604000,0,0,4,4
4星彩,113000032,2024/02/06,4125800,165032,2328500,3,2,3,7
4星彩,113000033,2024/02/07,3973400,158936,1263000,8,6,9,3
4星彩,113000034,2024/02/08,3980200,159208,1701000,8,6,9,6
4星彩,113000035,2024/02/09,4069200,162768,1651000,9,4,6,6
4星彩,113000036,2024/02/10,4120100,164804,1919500,8,0,8,1
4星彩,113000037,2024/02/12,4973075,198923,3148000,6,1,6,6
4星彩,113000038,2024/02/13,4159675,166387,1419000,4,6,5,2
4星彩,113000039,2024/02/14,4221450,168858,1568500,2,5,8,2
4星彩,113000040,2024/02/15,4124125,164965,3266500,2,9,1,5
4星彩,113000041,2024/02/16,4184950,167398,2169500,9,6,7,6
4星彩,113000042,2024/02/17,4207800,168312,3387000,9,9,2,8
4星彩,113000043,2024/02/19,4725800,189032,1005500,9,3,4,9
4星彩,113000044,2024/02/20,4056900,162276,821000,8,0,7,4
4星彩,113000045,2024/02/21,3920325,156813,1643500,0,5,9,7
4星彩,113000046,2024/02/22,3863150,154526,1905000,9,5,6,2
4星彩,113000047,2024/02/23,3918800,156752,1140000,3,8,4,2
4星彩,113000048,2024/02/24,3943800,157752,1382000,5,0,6,1
4星彩,113000049,2024/02/26,4110375,164415,652500,9,7,9,4
4星彩,113000050,2024/02/27,3643225,145729,913000,4,2,5,4
4星彩,113000051,2024/02/28,3793300,151732,3727500,0,2,1,3
4星彩,113000052,2024/02/29,3840150,153606,1734500,5,4,1,1
4星彩,113000053,2024/03/01,3753175,150127,2426500,5,5,3,8
4星彩,113000054,2024/03/02,3723525,148941,5883500,1,0,1,0
4星彩,113000055,2024/03/04,4386075,175443,1821500,2,7,1,4
4星彩,113000056,2024/03/05,3893400,155736,2427000,2,7,3,5
4星彩,113000057,2024/03/06,3958750,158350,4452500,1,1,3,6
4星彩,113000058,2024/03/07,3962450,158498,3729000,2,2,8,8
4星彩,113000059,2024/03/08,4253425,170137,4557000,0,3,1,9
4星彩,113000060,2024/03/09,4048450,161938,2533500,2,0,6,9
4星彩,113000061,2024/03/11,4430025,177201,1804500,9,6,0,3
4星彩,113000062,2024/03/12,3997475,159899,1699500,4,6,8,6
4星彩,113000063,2024/03/13,4149250,165970,1636500,0,7,0,4
4星彩,113000064,2024/03/14,4016650,160666,1233000,9,3,9,2
4星彩,113000065,2024/03/15,4165850,166634,3550500,2,9,3,9
4星彩,113000066,2024/03/16,4165400,166616,1789500,3,9,9,8
4星彩,113000067,2024/03/18,4734525,189381,3923500,2,7,1,9
4星彩,113000068,2024/03/19,4028275,161131,2356000,1,4,3,8
4星彩,113000069,2024/03/20,4253375,170135,1895000,8,6,9,5
4星彩,113000070,2024/03/21,4124225,164969,1748000,3,0,5,6
4星彩,113000071,2024/03/22,4086750,163470,2493500,1,1,6,7
4星彩,113000072,2024/03/23,4044900,161796,1691500,2,1,6,3
4星彩,113000073,2024/03/25,4460550,178422,3718500,4,2,2,2
4星彩,113000074,2024/03/26,3967150,158686,1434000,2,4,5,5
4星彩,113000075,2024/03/27,4167650,166706,3224000,2,7,1,2
4星彩,113000076,2024/03/28,4117600,164704,1261500,6,9,6,0
4星彩,113000077,2024/03/29,4140625,165625,1381000,7,3,6,1
4星彩,113000078,2024/03/30,4061750,162470,1590000,4,2,7,2
4星彩,113000079,2024/04/01,4435025,177401,3733000,3,8,5,7
4星彩,113000080,2024/04/02,4045050,161802,2825500,4,2,8,8
4星彩,113000081,2024/04/03,4677200,187088,2108000,4,8,0,6
4星彩,113000082,2024/04/04,4013125,160525,1585000,9,4,0,0
4星彩,113000083,2024/04/05,3884050,155362,2305500,5,9,3,3
4星彩,113000084,2024/04/06,4095400,163816,3194500,9,4,1,8
4星彩,113000085,2024/04/08,4445900,177836,1460000,3,8,6,0
4星彩,113000086,2024/04/09,3946575,157863,4222000,2,7,3,8
4星彩,113000087,2024/04/10,4240575,169623,3258000,3,3,6,8
4星彩,113000088,2024/04/11,4233325,169333,2275000,1,5,5,7
4星彩,113000089,2024/04/12,4234800,169392,2140500,7,7,2,1
4星彩,113000090,2024/04/13,4271375,170855,1328500,6,4,0,7
4星彩,113000091,2024/04/15,4525750,181030,1078500,8,2,4,9
4星彩,113000092,2024/04/16,4046550,161862,1555500,2,1,9,2
4星彩,113000093,2024/04/17,4155750,166230,1920000,9,4,1,9
4星彩,113000094,2024/04/18,4045225,161809,3208500,9,1,2,8
4星彩,113000095,2024/04/19,4239875,169595,1834000,2,1,8,0
4星彩,113000096,2024/04/20,4162025,166481,1044500,3,4,7,3
4星彩,113000097,2024/04/22,4298500,171940,4455000,6,0,1,5
4星彩,113000098,2024/04/23,3894125,155765,1596500,5,7,5,1
4星彩,113000099,2024/04/24,3773175,150927,2216000,1,9,0,8
4星彩,113000100,2024/04/25,3598925,143957,2933500,6,2,3,6
4星彩,113000101,2024/04/26,3858450,154338,3700500,1,9,0,3
4星彩,113000102,2024/04/27,3958325,158333,1323500,0,2,9,3
4星彩,113000103,2024/04/29,4266075,170643,1371500,4,4,9,3
4星彩,113000104,2024/04/30,3880150,155206,4926500,3,2,6,5
4星彩,113000105,2024/05/01,3929100,157164,3483000,7,6,8,8
4星彩,113000106,2024/05/02,3971200,158848,3241000,8,5,5,8
4星彩,113000107,2024/05/03,4176300,167052,2391500,0,9,3,9
4星彩,113000108,2024/05/04,4145800,165832,2192000,5,3,9,7
4星彩,113000109,2024/05/06,4457375,178295,2878500,7,2,5,6
4星彩,113000110,2024/05/07,4025075,161003,3462500,0,1,7,9
4星彩,113000111,2024/05/08,4146300,165852,4217500,2,6,8,1
4星彩,113000112,2024/05/09,4045150,161806,645500,4,8,4,3
4星彩,113000113,2024/05/10,4151800,166072,1597500,2,5,8,1
4星彩,113000114,2024/05/11,4091275,163651,1809000,3,9,3,7
4星彩,113000115,2024/05/13,4275150,171006,2512500,6,6,5,0
4星彩,113000116,2024/05/14,3929875,157195,811000,3,0,4,5
4星彩,113000117,2024/05/15,4021025,160841,1031000,1,7,6,4
