遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
今彩539,113000001,2024/01/01,40180500,803610,27478350,3,9,27,30,33
今彩539,113000002,2024/01/02,35993200,719864,16842250,21,22,25,30,37
今彩539,113000003,2024/01/03,37871300,757426,9014400,1,5,21,32,37
今彩539,113000004,2024/01/04,35592750,711855,9251800,11,27,28,29,37
今彩539,113000005,2024/01/05,37451450,749029,18292000,10,11,14,21,33
今彩539,113000006,2024/01/06,40929550,818591,18056700,1,16,33,37,39
今彩539,113000007,2024/01/08,41688100,833762,35879150,7,22,35,38,39
今彩539,113000008,2024/01/09,36255150,725103,20062200,9,17,19,23,27
今彩539,113000009,2024/01/10,40505800,810116,28102750,3,6,15,19,24
今彩539,113000010,2024/01/11,36990950,739819,9477550,15,23,34,36,37
今彩539,113000011,2024/01/12,38101850,762037,12834600,1,3,12,23,31
今彩539,113000012,2024/01/13,40477650,809553,35458100,14,20,27,33,38
今彩539,113000013,2024/01/15,40581900,811638,21494500,1,3,10,11,35
今彩539,113000014,2024/01/16,35906100,718122,36050250,2,5,9,27,29
今彩539,113000015,2024/01/17,40023050,800461,10374350,10,17,32,38,39
今彩539,113000016,2024/01/18,36434500,728690,7943900,10,27,31,32,33
今彩539,113000017,2024/01/19,37780050,755601,17211950,2,3,13,17,35
今彩539,113000018,2024/01/20,40028000,800560,12243950,15,20,28,36,37
今彩539,113000019,2024/01/22,39367350,787347,33488700,3,15,17,25,36
今彩539,113000020,2024/01/23,30548250,610965,9258750,8,16,18,19,35
今彩539,113000021,2024/01/24,38409850,768197,10137850,4,12,29,33,36
今彩539,113000022,2024/01/25,34164350,683287,7785750,1,14,32,34,36
今彩539,113000023,2024/01/26,36919100,738382,10948750,6,9,12,22,31
今彩539,113000024,2024/01/27,39154050,783081,17511350,1,8,9,30,35
今彩539,113000025,2024/01/29,40930400,818608,18132800,1,3,18,22,28
今彩539,113000026,2024/01/30,35447400,708948,18153450,3,11,21,23,36
今彩539,113000027,2024/01/31,40204800,804096,10755450,6,10,21,32,38
今彩539,113000028,2024/02/01,36524950,730499,18574950,10,17,19,29,37
今彩539,113000029,2024/02/02,37729050,754581,16530000,10,22,26,32,33
今彩539,113000030,2024/02/03,40577650,811553,34502700,14,20,21,23,34
今彩539,113000031,2024/02/05,42758700,855174,35612450,12,15,16,23,28
今彩539,113000032,2024/02/06,38398700,767974,16838850,6,13,16,32,39
今彩539,113000033,2024/02/07,37736750,754735,24617350,6,11,15,28,31
今彩539,113000034,2024/02/08,39146700,782934,9008250,20,25,31,35,38
今彩539,113000035,2024/02/09,44689300,893786,10996250,6,20,22,36,37
今彩539,113000036,2024/02/10,48442750,968855,12056800,3,18,19,21,22
今彩539,113000037,2024/02/12,58115300,1162306,31685850,6,8,22,29,38
今彩539,113000038,2024/02/13,47887850,957757,28953850,23,24,28,30,31
今彩539,113000039,2024/02/14,46546350,930927,11906450,4,16,27,30,37
今彩539,113000040,2024/02/15,43108900,862178,19522350,2,4,15,17,30
今彩539,113000041,2024/02/16,42927700,858554,11911450,7,11,16,34,36
今彩539,113000042,2024/02/17,42683650,853673,34930250,12,18,31,38,39
今彩539,113000043,2024/02/19,46297350,925947,31617650,5,9,17,24,25
今彩539,113000044,2024/02/20,38849950,776999,16711750,21,26,29,30,34
今彩539,113000045,2024/02/21,37996000,759920,14304100,1,3,4,35,37
今彩539,113000046,2024/02/22,36946200,738924,18333600,3,5,12,15,33
今彩539,113000047,2024/02/23,38371950,767439,17041350,1,3,15,18,35
今彩539,113000048,2024/02/24,39966600,799332,18394750,2,7,10,15,33
今彩539,113000049,2024/02/26,43668600,873372,28540450,23,25,29,31,32
今彩539,113000050,2024/02/27,36597900,731958,18668250,11,27,30,31,38
今彩539,113000051,2024/02/28,41970100,839402,11542350,7,14,28,29,38
今彩539,113000052,2024/02/29,39266400,785328,27160450,7,15,22,26,37
今彩539,113000053,2024/03/01,35723050,714461,28944350,5,12,13,21,36
今彩539,113000054,2024/03/02,38590100,771802,25651350,17,19,29,36,37
今彩539,113000055,2024/03/04,45088850,901777,14151050,1,3,5,19,38
今彩539,113000056,2024/03/05,38627200,772544,17842350,26,34,36,37,39
今彩539,113000057,2024/03/06,40483350,809667,17193300,9,19,23,36,38
今彩539,113000058,2024/03/07,37633900,752678,10079750,2,6,20,23,36
今彩539,113000059,2024/03/08,39028350,780567,10046200,8,11,15,20,36
今彩539,113000060,2024/03/09,40778800,815576,38000350,5,10,27,37,38
今彩539,113000061,2024/03/11,42438150,848763,27361400,2,8,16,18,36
今彩539,113000062,2024/03/12,37877050,757541,26966850,12,21,23,38,39
今彩539,113000063,2024/03/13,42761450,855229,19446100,8,12,22,35,36
今彩539,113000064,2024/03/14,39703600,794072,17566100,18,19,22,26,28
今彩539,113000065,2024/03/15,39686800,793736,19630750,7,8,9,14,34
今彩539,113000066,2024/03/16,42164500,843290,11425550,2,6,16,27,39
今彩539,113000067,2024/03/18,44367650,887353,18614950,11,16,18,19,25
今彩539,113000068,2024/03/19,37035650,740713,17761050,10,16,26,38,39
今彩539,113000069,2024/03/20,42495250,849905,34426900,5,24,29,34,35
今彩539,113000070,2024/03/21,38157050,763141,20855750,1,2,4,13,27
今彩539,113000071,2024/03/22,38531300,770626,11418750,7,11,12,24,38
今彩539,113000072,2024/03/23,39990100,799802,11750000,7,17,27,28,33
今彩539,113000073,2024/03/25,41931100,838622,34053750,4,11,20,34,36
今彩539,113000074,2024/03/26,35650050,713001,18411700,5,7,30,35,38
今彩539,113000075,2024/03/27,39936400,798728,26793500,10,21,23,27,30
今彩539,113000076,2024/03/28,36561250,731225,9858600,1,10,16,26,29
今彩539,113000077,2024/03/29,36993400,739868,18177450,11,12,18,23,24
今彩539,113000078,2024/03/30,38858050,777161,17369400,2,12,15,24,35
今彩539,113000079,2024/04/01,39821850,796437,20832750,5,9,14,20,33
今彩539,113000080,2024/04/02,35778700,715574,34954050,4,10,12,23,26
今彩539,113000081,2024/04/03,40330650,806613,22382050,1,3,6,21,27
今彩539,113000082,2024/04/04,34175200,683504,8960850,8,14,22,27,35
今彩539,113000083,2024/04/05,35135600,702712,7941300,1,13,31,34,35
今彩539,113000084,2024/04/06,38076800,761536,11129600,4,7,15,22,30
今彩539,113000085,2024/04/08,41082400,821648,21308850,3,9,21,27,36
今彩539,113000086,2024/04/09,36793500,735870,17985850,12,21,24,25,39
今彩539,113000087,2024/04/10,41226550,824531,25837750,2,3,21,26,30
今彩539,113000088,2024/04/11,37191850,743837,10024650,13,15,18,19,33
今彩539,113000089,2024/04/12,38301800,766036,20917700,1,3,10,14,31
今彩539,113000090,2024/04/13,39894000,797880,9686350,1,2,9,19,31
今彩539,113000091,2024/04/15,41170350,823407,19402400,3,9,10,13,17
今彩539,113000092,2024/04/16,36005650,720113,17064400,6,17,21,26,28
今彩539,113000093,2024/04/17,39276800,785536,24608600,15,28,35,36,39
今彩539,113000094,2024/04/18,35307600,706152,7934100,6,13,15,25,28
今彩539,113000095,2024/04/19,36650750,733015,16950500,2,10,21,22,38
今彩539,113000096,2024/04/20,38157350,763147,12530450,3,12,20,34,35
今彩539,113000097,2024/04/22,39998650,799973,9200450,6,14,20,28,35
今彩539,113000098,2024/04/23,35663950,713279,17064200,17,18,32,35,37
今彩539,113000099,2024/04/24,34590900,691818,36123844,3,6,10,17,28
今彩539,113000100,2024/04/25,31759150,635183,23854950,16,20,21,22,25
今彩539,113000101,2024/04/26,33925950,678519,7738300,10,14,25,31,36
今彩539,113000102,2024/04/27,37890350,757807,8947500,9,15,22,34,36
今彩539,113000103,2024/04/29,39659950,793199,37906900,4,10,12,21,27
今彩539,113000104,2024/04/30,34575450,691509,19351400,3,7,12,17,37
今彩539,113000105,2024/05/01,38360450,767209,8083150,9,24,32,36,39
今彩539,113000106,2024/05/02,35672550,713451,39984850,3,6,13,28,35
今彩539,113000107,2024/05/03,37630350,752607,34721300,5,6,11,16,37
今彩539,113000108,2024/05/04,38878900,777578,33735250,2,7,13,18,28
今彩539,113000109,2024/05/06,40991700,819834,9752350,12,28,31,35,39
今彩539,113000110,2024/05/07,35865350,717307,9406000,4,9,18,25,39
今彩539,113000111,2024/05/08,38948400,778968,16975100,12,13,16,26,37
今彩539,113000112,2024/05/09,35925600,718512,18229700,5,6,11,31,35
今彩539,113000113,2024/05/10,37289350,745787,10336650,1,12,31,38,39
今彩539,113000114,2024/05/11,38997000,779940,19942700,1,7,11,15,29
今彩539,113000115,2024/05/13,39501200,790024,26618500,4,14,33,36,37
今彩539,113000116,2024/05/14,35920550,718411,11274850,7,11,18,20,22
今彩539,113000117,2024/05/15,39644150,792883,18085700,4,6,14,26,33
今彩539,113000118,2024/05/16,35762850,715257,10004550,9,10,21,33,35
今彩539,113000119,2024/05/17,36852150,737043,27125600,14,19,27,30,38
今彩539,113000120,2024/05/18,38136000,762720,34900650,5,10,11,32,37
今彩539,113000121,2024/05/20,40517850,810357,10591250,3,5,28,32,34
今彩539,113000122,2024/05/21,33881650,677633,9426950,1,3,16,24,31
今彩539,113000123,2024/05/22,37457250,749145,20340700,11,13,15,23,29
今彩539,113000124,2024/05/23,34542700,690854,8529500,14,23,26,27,34
今彩539,113000125,2024/05/24,35220150,704403,16305150,5,16,22,26,39
今彩539,113000126,2024/05/25,37165400,743308,23793100,1,15,32,34,38
今彩539,113000127,2024/05/27,37776500,755530,26074250,5,13,14,17,24
今彩539,113000128,2024/05/28,32540800,650816,8223100,16,23,29,36,39
今彩539,113000129,2024/05/29,37321450,746429,10002450,1,7,9,20,32
今彩539,113000130,2024/05/30,34151300,683026,6818450,2,9,32,36,37
今彩539,113000131,2024/05/31,35071800,701436,19192750,8,12,13,23,36
今彩539,113000132,2024/06/01,35964000,719280,9673050,4,20,24,28,38
今彩539,113000133,2024/06/03,37406800,748136,35551050,6,10,21,24,31
今彩539,113000134,2024/06/04,33750200,675004,20554900,7,11,17,23,25
今彩539,113000135,2024/06/05,35907800,718156,10481900,3,4,6,14,20
今彩539,113000136,2024/06/06,33997350,679947,15695800,3,11,20,21,36
今彩539,113000137,2024/06/07,36707500,734150,26540250,1,4,27,34,35
今彩539,113000138,2024/06/08,38640250,772805,16955950,11,19,24,31,32
今彩539,113000139,2024/06/10,39412050,788241,37436500,18,19,30,33,38
今彩539,113000140,2024/06/11,34209700,684194,8431800,3,13,26,32,34
今彩539,113000141,2024/06/12,37425000,748500,15862650,14,19,20,29,32
今彩539,113000142,2024/06/13,34037650,680753,17118550,3,12,17,30,38
今彩539,113000143,2024/06/14,34781350,695627,16754350,1,2,17,20,37
今彩539,113000144,2024/06/15,37576800,751536,29228450,5,8,35,36,37
今彩539,113000145,2024/06/17,38569900,771398,8665600,2,8,26,32,34
今彩539,113000146,2024/06/18,33332550,666651,8314200,2,9,15,29,38
今彩539,113000147,2024/06/19,36352550,727051,27096700,2,10,11,14,22
今彩539,113000148,2024/06/20,33564700,671294,21385600,12,13,16,20,32
今彩539,113000149,2024/06/21,34979500,699590,25325150,10,12,15,16,23
今彩539,113000150,2024/06/22,36126100,722522,11809750,1,21,22,25,27
今彩539,113000151,2024/06/24,36398250,727965,18076700,3,13,17,32,39
今彩539,113000152,2024/06/25,32378400,647568,23719850,25,26,32,36,37
今彩539,113000153,2024/06/26,36289300,725786,17124600,2,21,37,38,39
今彩539,113000154,2024/06/27,33293200,665864,9345750,15,18,27,28,31
今彩539,113000155,2024/06/28,34336450,686729,16163850,12,16,25,27,39
今彩539,113000156,2024/06/29,35737850,714757,11083450,2,17,26,33,35
今彩539,113000157,2024/07/01,37384150,747683,12179300,8,11,17,19,23
今彩539,113000158,2024/07/02,33458750,669175,9083450,3,15,16,20,22
今彩539,113000159,2024/07/03,36580300,731606,8690350,4,20,25,33,34
今彩539,113000160,2024/07/04,33182300,663646,15826500,9,12,15,26,33
今彩539,113000161,2024/07/05,34715300,694306,9836200,17,18,23,24,28
今彩539,113000162,2024/07/06,36466750,729335,16006050,4,21,24,33,35
今彩539,113000163,2024/07/08,36899400,737988,11427750,11,17,20,22,29
今彩539,113000164,2024/07/09,33265550,665311,8582650,2,13,31,33,36
今彩539,113000165,2024/07/10,36920650,738413,7828450,1,9,14,31,33
今彩539,113000166,2024/07/11,35245250,704905,16945550,1,2,13,23,37
今彩539,113000167,2024/07/12,34947450,698949,25676200,8,17,18,19,36
今彩539,113000168,2024/07/13,36617800,732356,32909700,16,21,23,29,30
今彩539,113000169,2024/07/15,37425950,748519,32520700,1,19,22,25,37
今彩539,113000170,2024/07/16,33173100,663462,9595150,7,24,26,34,36
今彩539,113000171,2024/07/17,35885300,717706,17264250,8,10,26,28,37
今彩539,113000172,2024/07/18,32748500,654970,32297300,5,17,24,33,34
今彩539,113000173,2024/07/19,34271650,685433,16053450,14,19,24,30,36
今彩539,113000174,2024/07/20,35867800,717356,11962700,1,11,27,29,31
今彩539,113000175,2024/07/22,37539150,750783,25062900,6,20,26,30,34
今彩539,113000176,2024/07/23,32084550,641691,25856200,7,11,12,37,38
今彩539,113000177,2024/07/24,23770050,475401,23439100,2,3,21,23,34
今彩539,113000178,2024/07/25,21356650,427133,7288500,1,9,17,18,39
今彩539,113000179,2024/07/26,29992900,599858,15777950,11,12,18,20,36
今彩539,113000180,2024/07/27,36782950,735659,24721450,1,11,15,18,37
今彩539,113000181,2024/07/29,37907150,758143,10030050,1,12,14,24,30
今彩539,113000182,2024/07/30,32379500,647590,25225150,2,4,16,29,38
今彩539,113000183,2024/07/31,35509450,710189,17249550,12,18,36,37,38
今彩539,113000184,2024/08/01,34011850,680237,8423300,12,24,27,30,35
今彩539,113000185,2024/08/02,34701950,694039,7680650,1,19,22,24,38
今彩539,113000186,2024/08/03,36576800,731536,9978600,11,12,26,27,32
今彩539,113000187,2024/08/05,38771200,775424,11506500,6,7,11,17,36
今彩539,113000188,2024/08/06,33909550,678191,19316250,1,6,12,29,37
今彩539,113000189,2024/08/07,38372550,767451,9941200,4,5,16,19,30
今彩539,113000190,2024/08/08,35609400,712188,26347450,2,9,13,19,28
今彩539,113000191,2024/08/09,34942300,698846,38581550,2,7,8,10,12
今彩539,113000192,2024/08/10,37491250,749825,35674050,1,21,28,38,39
今彩539,113000193,2024/08/12,39334450,786689,11188600,8,12,24,28,34
今彩539,113000194,2024/08/13,34468100,689362,16969850,9,15,20,28,32
