遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,17,20
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,17,25
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,17,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,17,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,20,25
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,20,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,20,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,25,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,25,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,15,29,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,17,20,25
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,17,20,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,17,20,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,17,25,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,17,25,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,17,29,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,20,25,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,20,25,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,20,29,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,07,25,29,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,17,20,25
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,17,20,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,17,20,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,17,25,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,17,25,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,17,29,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,20,25,29
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,20,25,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,20,29,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,15,25,29,45
春節加碼活動,113000011,2024/02/06,215438650,4308773,235074395,01,03,17,20,25,29
